FBgn,Class,Levels,Values
FBgn0000003,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000003,Sex,2,Female Male
FBgn0000003,Tissue,3,Body Head Reprod
FBgn0000008,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000008,Sex,2,Female Male
FBgn0000008,Tissue,3,Body Head Reprod
FBgn0000014,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000014,Sex,2,Female Male
FBgn0000014,Tissue,3,Body Head Reprod
FBgn0000015,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000015,Sex,2,Female Male
FBgn0000015,Tissue,3,Body Head Reprod
FBgn0000017,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000017,Sex,2,Female Male
FBgn0000017,Tissue,3,Body Head Reprod
FBgn0000018,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000018,Sex,2,Female Male
FBgn0000018,Tissue,3,Body Head Reprod
FBgn0000024,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000024,Sex,2,Female Male
FBgn0000024,Tissue,3,Body Head Reprod
FBgn0000028,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000028,Sex,2,Female Male
FBgn0000028,Tissue,3,Body Head Reprod
FBgn0000032,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000032,Sex,2,Female Male
FBgn0000032,Tissue,3,Body Head Reprod
FBgn0000036,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000036,Sex,2,Female Male
FBgn0000036,Tissue,3,Body Head Reprod
FBgn0000037,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000037,Sex,2,Female Male
FBgn0000037,Tissue,3,Body Head Reprod
FBgn0000038,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000038,Sex,2,Female Male
FBgn0000038,Tissue,3,Body Head Reprod
FBgn0000039,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000039,Sex,2,Female Male
FBgn0000039,Tissue,3,Body Head Reprod
FBgn0000042,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000042,Sex,2,Female Male
FBgn0000042,Tissue,3,Body Head Reprod
FBgn0000043,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000043,Sex,2,Female Male
FBgn0000043,Tissue,3,Body Head Reprod
FBgn0000044,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000044,Sex,2,Female Male
FBgn0000044,Tissue,3,Body Head Reprod
FBgn0000045,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000045,Sex,2,Female Male
FBgn0000045,Tissue,3,Body Head Reprod
FBgn0000046,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000046,Sex,2,Female Male
FBgn0000046,Tissue,3,Body Head Reprod
FBgn0000047,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000047,Sex,2,Female Male
FBgn0000047,Tissue,3,Body Head Reprod
FBgn0000052,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000052,Sex,2,Female Male
FBgn0000052,Tissue,3,Body Head Reprod
FBgn0000053,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000053,Sex,2,Female Male
FBgn0000053,Tissue,3,Body Head Reprod
FBgn0000055,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000055,Sex,2,Female Male
FBgn0000055,Tissue,3,Body Head Reprod
FBgn0000057,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000057,Sex,2,Female Male
FBgn0000057,Tissue,3,Body Head Reprod
FBgn0000061,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000061,Sex,2,Female Male
FBgn0000061,Tissue,3,Body Head Reprod
FBgn0000063,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000063,Sex,2,Female Male
FBgn0000063,Tissue,3,Body Head Reprod
FBgn0000064,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000064,Sex,2,Female Male
FBgn0000064,Tissue,3,Body Head Reprod
FBgn0000071,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000071,Sex,2,Female Male
FBgn0000071,Tissue,3,Body Head Reprod
FBgn0000075,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000075,Sex,2,Female Male
FBgn0000075,Tissue,3,Body Head Reprod
FBgn0000077,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000077,Sex,2,Female Male
FBgn0000077,Tissue,3,Body Head Reprod
FBgn0000078,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000078,Sex,2,Female Male
FBgn0000078,Tissue,3,Body Head Reprod
FBgn0000079,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000079,Sex,2,Female Male
FBgn0000079,Tissue,3,Body Head Reprod
FBgn0000083,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000083,Sex,2,Female Male
FBgn0000083,Tissue,3,Body Head Reprod
FBgn0000084,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000084,Sex,2,Female Male
FBgn0000084,Tissue,3,Body Head Reprod
FBgn0000092,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000092,Sex,2,Female Male
FBgn0000092,Tissue,3,Body Head Reprod
FBgn0000094,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000094,Sex,2,Female Male
FBgn0000094,Tissue,3,Body Head Reprod
FBgn0000097,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000097,Sex,2,Female Male
FBgn0000097,Tissue,3,Body Head Reprod
FBgn0000100,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000100,Sex,2,Female Male
FBgn0000100,Tissue,3,Body Head Reprod
FBgn0000108,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000108,Sex,2,Female Male
FBgn0000108,Tissue,3,Body Head Reprod
FBgn0000109,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000109,Sex,2,Female Male
FBgn0000109,Tissue,3,Body Head Reprod
FBgn0000114,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000114,Sex,2,Female Male
FBgn0000114,Tissue,3,Body Head Reprod
FBgn0000115,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000115,Sex,2,Female Male
FBgn0000115,Tissue,3,Body Head Reprod
FBgn0000116,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000116,Sex,2,Female Male
FBgn0000116,Tissue,3,Body Head Reprod
FBgn0000117,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000117,Sex,2,Female Male
FBgn0000117,Tissue,3,Body Head Reprod
FBgn0000119,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000119,Sex,2,Female Male
FBgn0000119,Tissue,3,Body Head Reprod
FBgn0000120,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000120,Sex,2,Female Male
FBgn0000120,Tissue,3,Body Head Reprod
FBgn0000121,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000121,Sex,2,Female Male
FBgn0000121,Tissue,3,Body Head Reprod
FBgn0000137,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000137,Sex,2,Female Male
FBgn0000137,Tissue,3,Body Head Reprod
FBgn0000139,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000139,Sex,2,Female Male
FBgn0000139,Tissue,3,Body Head Reprod
FBgn0000140,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000140,Sex,2,Female Male
FBgn0000140,Tissue,3,Body Head Reprod
FBgn0000146,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000146,Sex,2,Female Male
FBgn0000146,Tissue,3,Body Head Reprod
FBgn0000147,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000147,Sex,2,Female Male
FBgn0000147,Tissue,3,Body Head Reprod
FBgn0000150,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000150,Sex,2,Female Male
FBgn0000150,Tissue,3,Body Head Reprod
FBgn0000152,Age,11,Day14 Day21 Day28 Day35 Day42 Day49 Day5 Day56 Day63 Day7 Day70
FBgn0000152,Sex,2,Female Male
