FBgn,Dependent,RSquare,CV,RootMSE,DepMean
FBgn0000003,Expression,0.482946,121.62199,17202,14144
FBgn0000008,Expression,0.884769,23.67459,8.62981,36.45177
FBgn0000014,Expression,0.971684,30.21627,4.48811,14.85330
FBgn0000015,Expression,0.858224,71.49323,8.58983,12.01488
FBgn0000017,Expression,0.863650,31.50114,23.59771,74.91066
FBgn0000018,Expression,0.939743,28.01619,5.13371,18.32410
FBgn0000024,Expression,0.956560,34.38801,49.55635,144.10941
FBgn0000028,Expression,0.915415,36.08953,2.00735,5.56214
FBgn0000032,Expression,0.669307,106.04411,53.92578,50.85222
FBgn0000036,Expression,0.828809,76.54593,31.62824,41.31929
FBgn0000037,Expression,0.864626,71.03425,15.93666,22.43518
FBgn0000038,Expression,0.869030,68.06273,9.31073,13.67964
FBgn0000039,Expression,0.919554,51.67513,4.83989,9.36599
FBgn0000042,Expression,0.897225,21.44161,362.46576,1690
FBgn0000043,Expression,0.964685,22.17727,54.86517,247.39372
FBgn0000044,Expression,0.855086,40.58725,170.28009,419.54088
FBgn0000045,Expression,0.973441,44.61645,36.32424,81.41447
FBgn0000046,Expression,0.883926,39.06100,50.19030,128.49209
FBgn0000047,Expression,0.943238,50.57846,32.92487,65.09662
FBgn0000052,Expression,0.792147,34.40098,61.66652,179.25804
FBgn0000053,Expression,0.862641,32.91865,61.80578,187.75310
FBgn0000055,Expression,0.925158,32.37368,4.58694,14.16874
FBgn0000057,Expression,0.859407,26.13582,12.02068,45.99311
FBgn0000061,Expression,0.842087,54.90369,0.39282,0.71547
FBgn0000063,Expression,0.927062,42.81765,6.29333,14.69798
FBgn0000064,Expression,0.932807,27.62719,266.71735,965.41632
FBgn0000071,Expression,0.618172,172.69683,1.18816,0.68800
FBgn0000075,Expression,0.666615,134.50929,10.58115,7.86648
FBgn0000077,Expression,0.966139,16.12806,2.53412,15.71246
FBgn0000078,Expression,0.795683,89.58947,407.52617,454.88177
FBgn0000079,Expression,0.804532,83.94110,373.19562,444.59225
FBgn0000083,Expression,0.762427,23.17564,62.52114,269.77090
FBgn0000084,Expression,0.627581,33.93796,22.74228,67.01133
FBgn0000092,Expression,0.843721,52.07394,1.69701,3.25885
FBgn0000094,Expression,0.646609,183.64232,523.33458,284.97494
FBgn0000097,Expression,0.685084,30.69412,16.09284,52.42970
FBgn0000100,Expression,0.599347,104.45147,1439,1378
FBgn0000108,Expression,0.898280,62.50010,103.88027,166.20817
FBgn0000109,Expression,0.840304,24.31481,2.66055,10.94211
FBgn0000114,Expression,0.947618,41.96510,159.48672,380.04607
FBgn0000115,Expression,0.728189,30.89086,11.89764,38.51507
FBgn0000116,Expression,0.921957,29.51367,322.63031,1093
FBgn0000117,Expression,0.950901,14.30652,42.95261,300.23104
FBgn0000119,Expression,0.711356,20.19872,13.27966,65.74508
FBgn0000120,Expression,0.980683,30.31918,438.57723,1447
FBgn0000121,Expression,0.967241,39.44086,1202,3046
FBgn0000137,Expression,0.561181,119.62628,0.51352,0.42927
FBgn0000139,Expression,0.864311,15.68761,5.36540,34.20151
FBgn0000140,Expression,0.947280,52.02082,42.77413,82.22503
FBgn0000146,Expression,0.983242,31.38509,11.04241,35.18360
FBgn0000147,Expression,0.943828,44.92541,12.94704,28.81897
FBgn0000150,Expression,0.737064,64.85231,260.57125,401.79180
FBgn0000152,Expression,0.884514,20.44784,1.58401,7.74659
FBgn0000153,Expression,0.891871,43.47861,18.65785,42.91271
FBgn0000157,Expression,0.962565,25.99816,3.57288,13.74283
FBgn0000158,Expression,0.968940,48.23230,5.85453,12.13820
FBgn0000163,Expression,0.864499,14.51305,24.07584,165.89101
FBgn0000166,Expression,0.957919,62.36950,12.39118,19.86737
FBgn0000173,Expression,0.720552,32.88198,36.03068,109.57575
FBgn0000179,Expression,0.944169,39.52924,6.12354,15.49117
FBgn0000180,Expression,0.778807,26.26127,2.25254,8.57744
FBgn0000181,Expression,0.822887,32.54434,196.78840,604.67785
FBgn0000183,Expression,0.830566,18.79815,12.86120,68.41737
FBgn0000206,Expression,0.978429,29.41066,9.78696,33.27693
FBgn0000212,Expression,0.759480,31.05714,16.99125,54.70964
FBgn0000221,Expression,0.787721,33.26581,2.71069,8.14857
FBgn0000228,Expression,0.849369,22.68035,22.08234,97.36333
FBgn0000229,Expression,0.924274,21.51994,15.40729,71.59541
FBgn0000233,Expression,0.553620,192.49177,5.00032,2.59768
FBgn0000239,Expression,0.925260,18.69075,30.08823,160.97921
FBgn0000241,Expression,0.882578,67.26463,8.05240,11.97122
FBgn0000244,Expression,0.957129,14.51543,14.39082,99.14150
FBgn0000246,Expression,0.768624,50.90635,13.11040,25.75395
FBgn0000247,Expression,0.463427,33.59322,22.59169,67.25073
FBgn0000250,Expression,0.898767,21.68454,43.45516,200.39700
FBgn0000251,Expression,0.944593,39.31274,22.27448,56.65971
FBgn0000253,Expression,0.783329,45.65529,316.34150,692.89124
FBgn0000256,Expression,0.888387,58.26131,66.14905,113.53855
FBgn0000257,Expression,0.962987,13.79197,5.13356,37.22137
FBgn0000259,Expression,0.819509,27.85784,28.25233,101.41609
FBgn0000261,Expression,0.953196,27.05809,125.23727,462.84590
FBgn0000273,Expression,0.838708,37.84996,77.58407,204.97793
FBgn0000274,Expression,0.842283,131.08487,21.10366,16.09923
FBgn0000276,Expression,0.616780,134.10860,83.74023,62.44210
FBgn0000277,Expression,0.643781,171.44357,58.74103,34.26261
FBgn0000278,Expression,0.703984,147.65384,2.79953,1.89601
FBgn0000279,Expression,0.700757,137.16387,17.05426,12.43349
FBgn0000281,Expression,0.708758,177.75085,1.02514,0.57673
FBgn0000283,Expression,0.888077,40.29184,57.77532,143.39212
