"FBgn"	"Source_Age"	"Source_Sex"	"Source_Tissue"	"Source_Age*Sex"	"Source_Age*Tissue"	"Source_Sex*Tissue"	"Source_Age*Sex*Tissue"	"DF_Age"	"DF_Sex"	"DF_Tissue"	"DF_Age*Sex"	"DF_Age*Tissue"	"DF_Sex*Tissue"	"DF_Age*Sex*Tissue"	"SS_Age"	"SS_Sex"	"SS_Tissue"	"SS_Age*Sex"	"SS_Age*Tissue"	"SS_Sex*Tissue"	"SS_Age*Sex*Tissue"	"MS_Age"	"MS_Sex"	"MS_Tissue"	"MS_Age*Sex"	"MS_Age*Tissue"	"MS_Sex*Tissue"	"MS_Age*Sex*Tissue"	"FValue_Age"	"FValue_Sex"	"FValue_Tissue"	"FValue_Age*Sex"	"FValue_Age*Tissue"	"FValue_Sex*Tissue"	"FValue_Age*Sex*Tissue"	"ProbF_Age"	"ProbF_Sex"	"ProbF_Tissue"	"ProbF_Age*Sex"	"ProbF_Age*Tissue"	"ProbF_Sex*Tissue"	"ProbF_Age*Sex*Tissue"
"1"	"FBgn0000003"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	3105140534	3710000670	1511201815	2646722202	3229484136	682694495	3355968035	310514053	3710000670	755600908	264672220	161474207	341347248	167798402	1.05	12.54	2.55	0.89	0.55	1.15	0.57	0.413	0.000737	0.0855	0.543	0.934	0.322	0.921
"2"	"FBgn0000008"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	1068	3804	14907	225	1112	16008	615	107	3804	7454	23	56	8004	31	1.43	51.08	100.08	0.3	0.75	107.48	0.41	0.185	8.86e-10	1.04e-20	0.978	0.763	1.74e-21	0.985
"3"	"FBgn0000014"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	908	7851	15497	981	2148	16272	1964	91	7851	7748	98	107	8136	98	4.51	389.74	384.67	4.87	5.33	403.92	4.88	7.44e-05	2.14e-29	4.2e-37	3.05e-05	1.15e-07	9.5e-38	5.12e-07
"4"	"FBgn0000015"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	211	10334	7517	359	1283	8491	1283	21	10334	3759	36	64	4246	64	0.29	140.06	50.94	0.49	0.87	57.54	0.87	0.982	5.69e-18	4.17e-14	0.893	0.624	3.43e-15	0.624
"5"	"FBgn0000017"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	4706	277	175015	2647	11071	32456	6619	471	277	87507	265	554	16228	331	0.85	0.5	157.15	0.48	0.99	29.14	0.59	0.588	0.483	7.96e-26	0.9	0.481	8.49e-10	0.903
"6"	"FBgn0000018"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	153	4708	15438	152	416	6038	221	15	4708	7719	15	21	3019	11	0.58	178.65	292.89	0.58	0.79	114.56	0.42	0.823	1.9e-20	1.51e-33	0.826	0.716	3.43e-22	0.984
"7"	"FBgn0000024"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	75947	94488	3103539	31894	118241	72377	72677	7595	94488	1551769	3189	5912	36189	3634	3.09	38.47	631.87	1.3	2.41	14.74	1.48	0.00277	4.12e-08	9.13e-44	0.25	0.00402	5.12e-06	0.119
"8"	"FBgn0000028"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	37	24	2115	19	52	575	57	4	24	1058	2	3	287	3	0.91	5.86	262.46	0.47	0.65	71.33	0.7	0.531	0.0183	3.84e-32	0.903	0.859	3.19e-17	0.808
"9"	"FBgn0000032"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	42635	15349	131824	32914	43279	72689	49762	4263	15349	65912	3291	2164	36344	2488	1.47	5.28	22.67	1.13	0.74	12.5	0.86	0.172	0.0248	3.21e-08	0.353	0.766	2.5e-05	0.64
"10"	"FBgn0000036"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	13617	12233	252688	6836	21840	2862	9569	1362	12233	126344	684	1092	1431	478	1.36	12.23	126.3	0.68	1.09	1.43	0.48	0.218	0.000847	2.74e-23	0.736	0.379	0.247	0.966
"11"	"FBgn0000037"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	2666	2277	90095	1433	5855	2379	2357	267	2277	45048	143	293	1189	118	1.05	8.96	177.37	0.56	1.15	4.68	0.46	0.413	0.00387	2.84e-27	0.837	0.323	0.0125	0.971
"12"	"FBgn0000038"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	2310	409	30624	281	3735	43	563	231	409	15312	28	187	21	28	2.66	4.71	176.63	0.32	2.15	0.25	0.32	0.0085	0.0335	3.18e-27	0.972	0.0105	0.783	0.997
"13"	"FBgn0000039"	"Age"	"Sex"	"Tissue"	"Age*Sex"	"Age*Tissue"	"Sex*Tissue"	"Age*Sex*Tissue"	10	1	2	10	20	2	20	542	486	15044	116	915	427	142	54	486	7522	12	46	214	7	2.31	20.76	321.12	0.49	1.95	9.12	0.3	0.0211	2.31e-05	9.75e-35	0.888	0.0223	0.000318	0.998
