FBgn,Label,N,NObsUsed,NObsRead,SumFreqsUsed,SumFreqsRead,Label1,nvalue1,DependentVariables
FBgn0000003,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000003,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000008,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000008,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000014,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000014,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000015,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000015,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000017,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000017,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000018,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000018,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000024,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000024,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000028,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000028,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000032,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000032,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000036,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000036,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000037,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000037,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000038,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000038,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000039,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000039,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000042,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000042,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000043,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000043,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000044,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000044,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000045,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000045,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000046,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000046,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000047,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000047,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000052,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000052,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000053,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000053,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000055,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000055,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000057,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000057,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000061,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000061,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000063,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000063,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000064,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000064,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000071,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000071,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000075,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000075,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000077,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000077,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000078,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000078,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000079,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000079,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000083,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000083,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000084,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000084,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000092,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000092,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000094,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000094,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000097,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000097,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000100,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000100,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000108,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000108,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000109,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
