FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000003,Expression,Model,65,18241211887,280634029,0.95,5.84292E-01
FBgn0000003,Expression,Error,66,19529478979,295901197,_,_
FBgn0000003,Expression,Corrected Total,131,37770690867,_,_,_
FBgn0000008,Expression,Model,65,37741,581,7.80,6.55729E-15
FBgn0000008,Expression,Error,66,4915,74,_,_
FBgn0000008,Expression,Corrected Total,131,42656,_,_,_
FBgn0000014,Expression,Model,65,45621,702,34.84,8.71957E-34
FBgn0000014,Expression,Error,66,1329,20,_,_
FBgn0000014,Expression,Corrected Total,131,46950,_,_,_
FBgn0000015,Expression,Model,65,29479,454,6.15,2.43835E-12
FBgn0000015,Expression,Error,66,4870,74,_,_
FBgn0000015,Expression,Corrected Total,131,34349,_,_,_
FBgn0000017,Expression,Model,65,232790,3581,6.43,8.14124E-13
FBgn0000017,Expression,Error,66,36752,557,_,_
FBgn0000017,Expression,Corrected Total,131,269543,_,_,_
FBgn0000018,Expression,Model,65,27128,417,15.84,2.09386E-23
FBgn0000018,Expression,Error,66,1739,26,_,_
FBgn0000018,Expression,Corrected Total,131,28867,_,_,_
FBgn0000024,Expression,Model,65,3569163,54910,22.36,7.34221E-28
FBgn0000024,Expression,Error,66,162085,2456,_,_
FBgn0000024,Expression,Corrected Total,131,3731248,_,_,_
FBgn0000028,Expression,Model,65,2878,44,10.99,6.83426E-19
FBgn0000028,Expression,Error,66,266,4,_,_
FBgn0000028,Expression,Corrected Total,131,3144,_,_,_
FBgn0000032,Expression,Model,65,388452,5976,2.06,2.01082E-03
FBgn0000032,Expression,Error,66,191927,2908,_,_
FBgn0000032,Expression,Corrected Total,131,580379,_,_,_
FBgn0000036,Expression,Model,65,319644,4918,4.92,4.28087E-10
FBgn0000036,Expression,Error,66,66023,1000,_,_
FBgn0000036,Expression,Corrected Total,131,385667,_,_,_
FBgn0000037,Expression,Model,65,107061,1647,6.49,6.64603E-13
FBgn0000037,Expression,Error,66,16762,254,_,_
FBgn0000037,Expression,Corrected Total,131,123823,_,_,_
FBgn0000038,Expression,Model,65,37964,584,6.74,2.60235E-13
FBgn0000038,Expression,Error,66,5722,87,_,_
FBgn0000038,Expression,Corrected Total,131,43686,_,_,_
FBgn0000039,Expression,Model,65,17672,272,11.61,1.49701E-19
FBgn0000039,Expression,Error,66,1546,23,_,_
FBgn0000039,Expression,Corrected Total,131,19218,_,_,_
FBgn0000042,Expression,Model,65,75699308,1164605,8.86,2.29877E-16
FBgn0000042,Expression,Error,66,8671174,131381,_,_
FBgn0000042,Expression,Corrected Total,131,84370482,_,_,_
FBgn0000043,Expression,Model,65,5427112,83494,27.74,1.02341E-30
FBgn0000043,Expression,Error,66,198672,3010,_,_
FBgn0000043,Expression,Corrected Total,131,5625784,_,_,_
FBgn0000044,Expression,Model,65,11291997,173723,5.99,4.49495E-12
FBgn0000044,Expression,Error,66,1913690,28995,_,_
FBgn0000044,Expression,Corrected Total,131,13205688,_,_,_
FBgn0000045,Expression,Model,65,3191778,49104,37.22,1.11267E-34
FBgn0000045,Expression,Error,66,87084,1319,_,_
FBgn0000045,Expression,Corrected Total,131,3278862,_,_,_
FBgn0000046,Expression,Model,65,1266086,19478,7.73,8.10396E-15
FBgn0000046,Expression,Error,66,166258,2519,_,_
FBgn0000046,Expression,Corrected Total,131,1432344,_,_,_
FBgn0000047,Expression,Model,65,1188924,18291,16.87,3.26438E-24
FBgn0000047,Expression,Error,66,71547,1084,_,_
FBgn0000047,Expression,Corrected Total,131,1260471,_,_,_
FBgn0000052,Expression,Model,65,956515,14716,3.87,6.62620E-08
FBgn0000052,Expression,Error,66,250982,3803,_,_
FBgn0000052,Expression,Corrected Total,131,1207497,_,_,_
FBgn0000053,Expression,Model,65,1583347,24359,6.38,1.00215E-12
FBgn0000053,Expression,Error,66,252117,3820,_,_
FBgn0000053,Expression,Corrected Total,131,1835464,_,_,_
FBgn0000055,Expression,Model,65,17166,264,12.55,1.66222E-20
FBgn0000055,Expression,Error,66,1389,21,_,_
FBgn0000055,Expression,Corrected Total,131,18554,_,_,_
FBgn0000057,Expression,Model,65,58296,897,6.21,1.92806E-12
FBgn0000057,Expression,Error,66,9537,144,_,_
FBgn0000057,Expression,Corrected Total,131,67832,_,_,_
FBgn0000061,Expression,Model,65,54,1,5.41,4.81679E-11
FBgn0000061,Expression,Error,66,10,0,_,_
FBgn0000061,Expression,Corrected Total,131,64,_,_,_
FBgn0000063,Expression,Model,65,33225,511,12.91,7.56074E-21
FBgn0000063,Expression,Error,66,2614,40,_,_
FBgn0000063,Expression,Corrected Total,131,35839,_,_,_
FBgn0000064,Expression,Model,65,65180493,1002777,14.10,6.08632E-22
FBgn0000064,Expression,Error,66,4695118,71138,_,_
FBgn0000064,Expression,Corrected Total,131,69875610,_,_,_
FBgn0000071,Expression,Model,65,151,2,1.64,2.29977E-02
FBgn0000071,Expression,Error,66,93,1,_,_
FBgn0000071,Expression,Corrected Total,131,244,_,_,_
FBgn0000075,Expression,Model,65,14775,227,2.03,2.33511E-03
FBgn0000075,Expression,Error,66,7389,112,_,_
FBgn0000075,Expression,Corrected Total,131,22165,_,_,_
FBgn0000077,Expression,Model,65,12093,186,28.97,2.67546E-31
FBgn0000077,Expression,Error,66,424,6,_,_
FBgn0000077,Expression,Corrected Total,131,12517,_,_,_
FBgn0000078,Expression,Model,65,42686377,656713,3.95,4.29997E-08
FBgn0000078,Expression,Error,66,10961120,166078,_,_
FBgn0000078,Expression,Corrected Total,131,53647498,_,_,_
FBgn0000079,Expression,Model,65,37834102,582063,4.18,1.39087E-08
FBgn0000079,Expression,Error,66,9192148,139275,_,_
FBgn0000079,Expression,Corrected Total,131,47026250,_,_,_
FBgn0000083,Expression,Model,65,827942,12738,3.26,1.73388E-06
FBgn0000083,Expression,Error,66,257987,3909,_,_
FBgn0000083,Expression,Corrected Total,131,1085929,_,_,_
FBgn0000084,Expression,Model,65,57524,885,1.71,1.56010E-02
FBgn0000084,Expression,Error,66,34136,517,_,_
FBgn0000084,Expression,Corrected Total,131,91660,_,_,_
FBgn0000092,Expression,Model,65,1026,16,5.48,3.62337E-11
FBgn0000092,Expression,Error,66,190,3,_,_
FBgn0000092,Expression,Corrected Total,131,1216,_,_,_
FBgn0000094,Expression,Model,65,33074243,508835,1.86,6.56792E-03
FBgn0000094,Expression,Error,66,18076020,273879,_,_
FBgn0000094,Expression,Corrected Total,131,51150263,_,_,_
FBgn0000097,Expression,Model,65,37184,572,2.21,7.93975E-04
FBgn0000097,Expression,Error,66,17093,259,_,_
FBgn0000097,Expression,Corrected Total,131,54277,_,_,_
FBgn0000100,Expression,Model,65,204530952,3146630,1.52,4.64305E-02
FBgn0000100,Expression,Error,66,136725556,2071599,_,_
FBgn0000100,Expression,Corrected Total,131,341256508,_,_,_
FBgn0000108,Expression,Model,65,6289489,96761,8.97,1.69481E-16
FBgn0000108,Expression,Error,66,712213,10791,_,_
FBgn0000108,Expression,Corrected Total,131,7001702,_,_,_
FBgn0000109,Expression,Model,65,2458,38,5.34,6.54449E-11
FBgn0000109,Expression,Error,66,467,7,_,_
FBgn0000109,Expression,Corrected Total,131,2925,_,_,_
FBgn0000114,Expression,Model,65,30370016,467231,18.37,2.65548E-25
FBgn0000114,Expression,Error,66,1678777,25436,_,_
FBgn0000114,Expression,Corrected Total,131,32048793,_,_,_
FBgn0000115,Expression,Model,65,25029,385,2.72,3.74810E-05
FBgn0000115,Expression,Error,66,9343,142,_,_
FBgn0000115,Expression,Corrected Total,131,34372,_,_,_
FBgn0000116,Expression,Model,65,81158180,1248587,12.00,5.95809E-20
FBgn0000116,Expression,Error,66,6869961,104090,_,_
FBgn0000116,Expression,Corrected Total,131,88028141,_,_,_
FBgn0000117,Expression,Model,65,2358233,36281,19.67,3.48583E-26
FBgn0000117,Expression,Error,66,121765,1845,_,_
FBgn0000117,Expression,Corrected Total,131,2479998,_,_,_
FBgn0000119,Expression,Model,65,28684,441,2.50,1.36059E-04
FBgn0000119,Expression,Error,66,11639,176,_,_
FBgn0000119,Expression,Corrected Total,131,40323,_,_,_
FBgn0000120,Expression,Model,65,644511435,9915561,51.55,3.81441E-39
FBgn0000120,Expression,Error,66,12695099,192350,_,_
FBgn0000120,Expression,Corrected Total,131,657206534,_,_,_
FBgn0000121,Expression,Model,65,2813291992,43281415,29.98,9.30224E-32
FBgn0000121,Expression,Error,66,95282419,1443673,_,_
FBgn0000121,Expression,Corrected Total,131,2908574411,_,_,_
FBgn0000137,Expression,Model,65,22,0,1.30,1.46285E-01
FBgn0000137,Expression,Error,66,17,0,_,_
FBgn0000137,Expression,Corrected Total,131,40,_,_,_
FBgn0000139,Expression,Model,65,12102,186,6.47,7.09651E-13
FBgn0000139,Expression,Error,66,1900,29,_,_
FBgn0000139,Expression,Corrected Total,131,14002,_,_,_
FBgn0000140,Expression,Model,65,2169767,33381,18.24,3.24724E-25
FBgn0000140,Expression,Error,66,120755,1830,_,_
FBgn0000140,Expression,Corrected Total,131,2290522,_,_,_
FBgn0000146,Expression,Model,65,472168,7264,59.57,3.80106E-41
FBgn0000146,Expression,Error,66,8048,122,_,_
FBgn0000146,Expression,Corrected Total,131,480216,_,_,_
FBgn0000147,Expression,Model,65,185890,2860,17.06,2.35680E-24
FBgn0000147,Expression,Error,66,11063,168,_,_
FBgn0000147,Expression,Corrected Total,131,196953,_,_,_
FBgn0000150,Expression,Model,65,12561785,193258,2.85,1.79690E-05
FBgn0000150,Expression,Error,66,4481227,67897,_,_
FBgn0000150,Expression,Corrected Total,131,17043012,_,_,_
FBgn0000152,Expression,Model,65,1268,20,7.78,6.99316E-15
FBgn0000152,Expression,Error,66,166,3,_,_
FBgn0000152,Expression,Corrected Total,131,1434,_,_,_
FBgn0000153,Expression,Model,65,189508,2916,8.38,1.02419E-15
FBgn0000153,Expression,Error,66,22976,348,_,_
