Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
abd-A,12.78865,17.75388,15.85865,10.04895,13.64347,15.79866,12.26262,16.29264,18.0271,17.35888,13.5358
Ace,43.59105,47.43961,38.24466,34.72507,119.20685,45.66308,47.92742,46.86323,42.26619,47.72846,45.28701
nAChRbeta1,3.152737,3.113728,1.960564,1.564746,3.845353,3.294843,2.865321,2.730437,2.325554,1.614183,2.059131
Act42A,102.8103,136.8296,274.9937,395.1078,375.3897,385.8108,436.2527,334.2337,315.6948,410.2569,387.1428
Act79B,328.49188,206.36165,106.44165,98.07144,100.33319,87.4309,88.89866,74.30282,89.04909,65.59481,84.85863
Act87E,275.06281,237.94093,206.3876,154.53023,150.55743,137.13788,125.13801,118.26611,108.30056,94.44039,102.19949
Act88F,382.2407,102.82421,66.89104,81.02559,151.419,248.2598,281.60895,238.4751,133.21265,99.57013,86.01
ade2,276.9021,223.4147,193.3667,192.5212,134.4109,135.837,177.9504,166.3963,210.7664,179.5748,221.826
ade3,349.5498,234.4611,227.8346,232.4197,155.7746,168.3638,188.1115,187.8975,266.4887,255.1668,325.8807
Adh,16.492955,17.330145,15.352525,13.288945,9.997607,9.567037,10.44314,12.372511,11.83725,8.367498,9.774937
al,1.179965,0.920555,0.823281,1.264441,1.631649,1.013883,2.730505,2.188737,2.374488,2.31886,1.788628
Ald,2384.1135,2302.2325,1440.309,1240.5865,1399.1025,1216.6125,1084.712,839.2586,804.1029,755.8072,706.8427
AnxB9,290.7012,260.822,310.0215,280.7412,299.5215,312.8876,325.6071,344.3161,329.5709,322.9719,343.9359
Argk,2905.9545,2012.768,1707.8705,1639.892,1303.8395,1147.924,1098.1805,943.6092,927.8569,729.0698,772.4322
Arr1,6.022957,40.477484,4.132285,5.518364,128.67705,96.484555,84.802991,94.341656,14.036948,23.570678,18.771131
b,150.16185,93.04029,63.74556,45.14574,50.93106,56.80689,54.76781,44.01712,32.21069,28.0515,25.45914
baz,122.9151,141.5573,143.5411,138.8907,162.447,160.4452,169.5608,155.7991,152.701,169.7628,202.3193
bib,11.567755,12.701643,8.663328,6.54789,8.422956,9.699341,6.81435,7.411558,5.793355,7.166889,6.132261
boss,1.631023,1.10356,0.672695,0.919867,3.735723,2.51843,3.833233,2.785062,2.318683,2.526038,3.007778
bsk,28.95798,48.41428,59.79046,59.99558,82.56864,74.4962,71.96806,55.53303,41.58228,53.70647,47.31416
bw,2.596857,2.878297,2.005992,2.594273,2.771109,2.461843,3.347708,3.66923,5.891056,5.87922,6.321671
by,126.6882,136.4326,151.9623,155.8844,154.9186,139.7483,135.675,120.695,105.6224,114.9455,112.6559
CecA1,2.245954,12.669415,5.762126,11.049462,31.908205,56.42531,108.28552,138.01685,90.815935,87.18194,127.282635
CecA2,1.708382,7.99137,2.904145,9.22616,24.351261,32.6637,53.173095,87.86896,55.345225,55.73697,67.19272
CecB,0.382672,0.820756,0.174036,1.110513,0.675511,2.551283,3.603676,4.227527,4.289463,4.570227,3.402474
CecC,1.95895,4.161977,3.019924,6.596848,9.513894,11.76597,23.872385,22.606875,31.40595,24.069935,33.517115
Cec2,0.095668,0.271742,0,0.37073,0.54123,0.163455,2.949905,0.83142,1.95687,1.048407,1.890995
Col4a1,758.9359,495.6073,408.6005,392.9109,282.6652,275.0185,252.9866,264.4804,331.0022,235.0015,290.1369
ChAT,3.403305,3.227475,2.102843,1.756231,4.321368,3.631469,2.445912,3.606307,2.896678,3.090249,4.1198
clt,42.27037,37.93538,43.73075,46.61039,31.27452,27.13827,28.17822,25.40773,22.60263,21.82796,23.4448
