Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
abd-A,4.225118,0.511188,1.791368,0.935207,4.704718,1.917451,1.613955,1.402854,0.939416,1.906336,1.360578
Ace,371.1298,321.9676,314.0304,312.7212,327.4298,292.0032,315.0288,285.6166,252.4135,236.2994,259.753
nAChRbeta1,59.40234,45.80506,40.66159,34.70665,31.53866,27.21229,31.06366,21.89121,21.86727,18.79932,25.92469
Act42A,30.08954,40.88486,44.96578,42.45535,46.67525,51.4431,49.64567,56.80584,59.93541,68.61263,68.5511
Act79B,50.10205,21.04414,13.34153,14.36792,13.02074,15.25899,12.16667,13.2353,14.50697,16.55738,17.94547
Act87E,69.57525,61.12325,54.11773,53.9963,50.8965,47.15856,53.24759,47.14034,52.35865,53.57378,55.50464
Act88F,26.873575,15.606235,9.839285,11.44618,16.73399,14.788355,12.929051,14.01509,16.19082,13.70067,12.98513
ade2,164.0276,231.084,186.8187,221.9745,214.7056,231.3632,223.4068,294.868,329.5176,326.8537,369.9608
ade3,220.7502,277.9104,234.6652,238.3467,209.1265,240.6933,252.9943,329.173,443.543,447.8598,513.1529
Adh,24.03076,21.2063,18.82918,19.95804,17.09302,18.95294,13.11308,16.22576,21.72993,18.21084,21.78912
al,1.264727,0.346722,0.946403,0.563505,1.450143,0.797656,1.638147,0.760281,0.855278,0.795703,0.627437
Ald,1032.1727,911.9807,848.7543,824.1609,725.96,829.6544,848.8638,802.6531,944.196,935.7162,891.2618
AnxB9,201.7774,240.6507,211.5125,239.97,230.7927,260.3394,276.8381,320.8046,323.8935,354.31,370.2073
Argk,1507.885,1406.1005,1092.9025,1032.3455,963.8895,1023.5136,834.2899,841.9874,871.5264,799.1828,815.003
Arr1,3989.994,4750.842,3953.968,3935.557,3402.795,3531.406,3005.238,2526.756,2158.217,1823.27,1713.556
b,72.88516,89.87268,57.99663,72.95807,50.93995,61.06853,42.93679,62.26277,43.75914,44.68021,45.00865
baz,147.8751,143.0255,151.0126,153.9446,166.8263,173.3524,174.3214,187.2966,178.0979,178.9622,203.6151
bib,12.480984,10.322025,9.341644,9.190139,10.849543,9.675402,9.403256,9.1375,8.547395,8.294611,7.42378
boss,101.319,103.20975,77.39932,76.45969,76.45924,78.56989,75.55925,72.02763,62.88764,57.3109,69.72016
bsk,122.55297,112.29771,109.63801,103.16116,87.90266,88.13126,97.95221,70.82631,76.2207,72.7583,72.21293
bw,16.87266,18.22546,22.02784,28.47262,23.75157,26.85629,30.16241,46.38094,53.30156,51.90265,51.04954
by,103.3534,105.5418,105.7142,105.8628,116.9774,118.3713,104.3942,109.9585,100.7054,102.6256,107.307
CecA1,29.35553,14.70608,23.37592,25.40848,66.21161,71.5549,209.73345,214.3628,410.9448,248.02156,241.13083
CecA2,27.24183,13.37257,23.33916,29.73887,43.61926,63.50764,125.81907,207.24374,292.73666,193.19022,194.78754
CecB,0.748597,1.070783,1.12392,0.623247,2.489932,3.607273,9.257295,9.177848,17.137372,9.303779,9.496888
CecC,8.68909,8.695757,5.635406,10.0948,13.887765,22.73267,62.667135,56.833135,90.25446,55.90285,69.50968
Cec2,0.884315,0.535392,0.087474,0.772601,0.659977,0.459395,8.249443,2.06807,2.05293,0.851203,1.786061
Col4a1,328.5869,304.2159,268.4924,280.7126,237.1707,308.0256,263.6742,361.0637,324.3267,321.4921,286.2297
ChAT,68.26973,57.48771,50.07048,44.81874,41.13377,39.6099,42.65601,37.11208,30.34938,22.73908,26.99482
clt,16.49903,18.74513,16.22447,19.19667,15.33991,18.74513,15.21846,17.90393,17.3611,17.5209,16.55701
cm,23.64175,28.21275,22.4498,24.80522,20.23389,25.53667,19.22101,23.24541,24.48042,21.64225,22.19497
comt,210.282,234.8333,181.3123,163.1469,159.7686,146.9435,136.9457,113.8875,101.4582,95.3742,106.5326
cv-2,31.86381,32.69327,31.52315,28.69136,36.34146,33.16712,36.09229,43.58691,43.38271,46.24498,53.81847
1-Dec,6.923616,10.216491,57.642927,5.254813,3.428066,3.787276,2.905828,1.874808,11.531445,25.36523,7.03975
Hr3,16.32139,8.792822,9.410741,9.649433,8.277741,6.623517,8.86183,4.553615,6.003322,6.445093,6.060535
Cyp6a2,95.00831,139.2219,119.81237,106.20441,76.87004,108.45919,96.96176,107.91143,93.90103,85.6886,86.70556
bsh,6.652852,6.772876,5.003262,6.160823,8.041883,5.576489,5.669243,5.178926,4.813969,3.52237,4.252169
eas,241.6853,262.4643,262.0672,254.4381,210.8157,238.8731,265.089,224.5654,220.175,201.9633,185.8607
ec,18.49603,14.72267,13.47715,12.36207,15.54222,12.76102,10.67094,13.85366,10.93935,12.03406,10.82934
Eip71CD,186.67425,731.2613,664.7892,720.34895,505.37975,455.3459,288.48915,186.2334,198.6634,117.02085,94.93472
ena,109.0388,111.97465,111.95785,95.77767,79.20052,91.30311,85.97665,98.87036,95.72665,99.70257,114.9962
Eno,787.5199,841.7985,699.3437,661.4614,555.289,643.3502,565.1177,658.8882,702.5549,697.2347,699.8119
Fas3,72.39018,66.74511,67.61918,63.03911,75.75352,71.60132,74.12578,75.88752,80.44658,79.70883,88.36725
fj,4.786802,3.067127,2.541877,2.299837,2.324185,2.788615,1.715885,2.160445,2.750486,2.307639,1.377791
Actn,129.31701,100.00319,89.09102,80.25554,82.9879,85.71538,85.15734,79.52505,83.13141,83.17501,90.29223
fw,16.472965,12.374646,10.485059,10.553419,12.716057,9.792396,7.755593,5.997498,6.008709,7.036866,6.711973
Gapdh1,636.3633,620.9519,430.2873,397.609,332.2329,372.9021,324.1764,368.5551,395.4148,393.7029,367.348
Gapdh2,745.1924,812.1192,667.6556,629.8818,506.6628,618.0623,592.803,669.3442,726.8776,782.4462,759.7282
Gdh,247.6098,215.7277,168.6722,171.1406,168.091,170.2108,131.5339,148.2983,158.7174,145.1524,145.9775
Got2,211.2632,242.7127,188.5962,195.5036,168.0687,215.3246,231.4222,305.7563,387.36,379.9997,394.1796
Gpdh,483.0667,492.4927,442.4389,379.0873,283.1783,336.3398,282.6702,259.5814,231.2454,209.3407,194.8215
Grd,11.90956,8.91239,8.558069,8.535,10.81499,7.383307,6.776286,7.08019,7.447564,5.768265,9.35361
Gs2,919.933,984.922,870.7748,921.5613,773.3045,887.3459,784.3097,832.3097,773.8228,759.7151,716.5922
Hsc70-1,22.43614,21.055515,16.8798,18.939065,20.00907,17.22333,11.739111,10.212566,9.853423,8.907405,9.042071
Ide,95.05973,107.83703,103.05396,99.05963,89.7223,96.40704,91.03077,96.39202,84.4993,86.83533,83.64741
Idh,443.7051,584.1988,521.1385,472.6159,378.2486,485.8937,439.8331,507.6726,493.7978,494.615,468.7753
ImpL3,11.74757,9.795101,12.261345,11.831805,15.78582,18.708005,22.59923,35.19689,34.240965,42.56367,50.867715
inaD,340.2803,407.5976,349.2658,334.069,343.3854,339.7312,291.3422,256.6547,225.9956,209.5685,240.2358
Jon44E,1.223945,0.511188,0.877306,0.386301,1.616893,1.473437,1.321227,0.899064,0.589182,1.701089,1.365911
kar,54.29593,53.5756,48.32168,55.34858,49.24449,51.2773,37.50512,48.93152,51.11988,52.36827,58.35938
egh,116.1643,118.6489,118.4603,113.5522,106.8256,114.8368,120.2698,119.3312,114.1425,116.3844,118.1256
dlg1,362.0346,353.0396,385.4068,432.0183,420.6821,481.3905,549.5667,670.5975,709.3516,750.1812,943.7418
ifc,37.04239,51.09022,53.49955,53.00023,49.0307,55.51539,58.69071,64.41828,68.9802,74.62756,75.02766
esg,2.343212,0.493398,1.404718,1.172153,2.047032,1.452434,1.662339,1.529755,1.754081,1.656098,1.581199
Gli,49.55488,49.4406,51.60306,52.25616,55.58387,57.22356,65.86085,73.71407,73.16707,77.27017,77.64263
ND-B17,60.06857,70.18447,52.72106,55.62349,45.17924,52.19196,38.78748,40.8063,44.0791,39.40746,45.26248
Cyp303a1,3.815479,2.8977,2.279455,1.958679,3.743787,1.785074,2.423109,1.733334,1.447153,1.725717,1.449069
l(2)37Bb,16.29942,22.71215,18.29921,18.0398,16.60954,17.09731,16.66661,18.07993,16.03084,17.07395,15.53997
sas,47.22954,50.26729,45.90699,48.92948,50.81234,53.96017,45.81408,55.54132,46.60905,41.51315,45.12187
Lsp1alpha,2.760107,1.917317,2.40184,2.258063,3.42907,3.507883,4.484461,13.944034,10.520915,10.253154,23.62028
Lsp1gamma,3.169746,2.800885,2.454403,1.75093,2.489932,1.610693,2.559553,1.635579,2.967671,1.500767,2.412043
Rab32,156.0568,169.5457,145.5249,121.0661,113.2977,120.7895,116.1705,127.7169,118.3104,109.4601,130.5908
Mal-A1,6.006447,9.772354,35.96376,13.034951,33.961775,60.899275,23.112593,14.943983,35.191,32.642763,7.200733
lz,15.59295,17.34129,18.04673,21.25283,23.07309,20.1421,20.17693,20.72534,23.30139,23.0005,28.57892
E(spl)m2-BFM,1.939688,1.551354,1.227201,1.291637,1.614886,1.383807,1.111398,1.143673,1.202819,1.441,0.924669
E(spl)m3-HLH,4.195221,3.420263,3.734893,3.014044,2.22554,1.795576,2.266826,1.774363,1.680715,1.926039,1.348698
Map205,165.4161,161.5126,173.8602,180.8453,171.9857,178.327,210.5752,217.0981,205.4848,207.7144,226.3805
Men,493.123,547.0662,501.5587,368.7708,375.6768,461.5659,419.9376,484.8427,492.8373,610.0234,587.2421
E(spl)malpha-BFM,0.477162,0.133848,0.112833,0.296688,0.346262,0.401268,0.63384,0.256491,0.162889,0.215099,0.541613
Mlc1,194.87435,136.6994,97.37292,96.27737,73.87941,78.45883,101.7838,68.04031,85.46674,78.7151,84.09568
Mlc2,808.6232,570.508,421.1472,400.2415,347.5165,390.9597,435.2787,342.9561,446.3481,415.3116,472.5033
