FlyBase.ID,Symbol,FB_Day5,FB_Day7,FB_Day14,FB_Day21,FB_Day28,FB_Day35,FB_Day42,FB_Day49,FB_Day56,FB_Day63,FB_Day70,FH_Day5,FH_Day7,FH_Day14,FH_Day21,FH_Day28,FH_Day35,FH_Day42,FH_Day49,FH_Day56,FH_Day63,FH_Day70,MB_Day5,MB_Day7,MB_Day14,MB_Day21,MB_Day28,MB_Day35,MB_Day42,MB_Day49,MB_Day56,MB_Day63,MB_Day70,MH_Day5,MH_Day7,MH_Day14,MH_Day21,MH_Day28,MH_Day35,MH_Day42,MH_Day49,MH_Day56,MH_Day63,MH_Day70
FBgn0033926,Arc1,2226.144,2351.318,3105.436,4265.636,2857.501,3351.551,4177.578,5135.259,7431.447,5647.681,8846.566,249.2037,452.4298,538.2388,765.4508,1255.9735,1655.358,2352.564,3965.5325,4371.9035,5068.254,6875.334,1058.557,1209.513,1915.942,2763.62,2034.822,2856.606,3570.291,5052.735,7116.217,10879,8945.969,315.1739,339.4436,422.3965,892.6747,911.4689,1806.0182,3779.3445,4195.9595,5090.846,6670.16,7625.556
FBgn0033927,CR10102,210.3717,204.4469,315.5847,407.5555,259.9006,314.6595,422.4556,533.8316,705.8626,529.7917,710.9546,20.01022,40.07415,47.85894,63.81306,122.0851,144.34755,237.1566,353.12985,387.16535,465.835,576.06305,90.73188,114.19819,188.3286,269.88085,180.56045,294.89158,346.41505,475.75065,660.7445,977.63995,818.37065,26.3214,31.53666,34.36212,60.70374,79.95113,135.45672,337.0911,372.58985,464.11275,549.77175,693.3934
FBgn0029507,Tsp42Ed,88.05371,109.07594,172.73195,206.7922,213.7632,191.55805,217.9364,178.135,154.51835,188.8906,193.23925,24.06428,32.28386,30.755,37.1527,46.48945,55.25774,69.86146,73.82841,85.68487,90.76654,109.4778,62.51913,69.08234,74.61946,80.36625,82.08592,94.3034,125.48985,121.60605,117.7959,105.63555,160.0625,27.21478,21.86173,27.35346,32.06305,41.39761,48.14291,59.54684,78.55805,76.19571,90.85539,113.18836
FBgn0034005,ItgaPS4,1.284788,1.699709,2.550815,2.855344,3.649965,4.030392,4.097512,2.87021,4.268515,4.849594,6.831535,2.921423,0.37734,1.409131,0.890064,3.316659,2.815239,2.471494,1.954177,2.78302,2.88134,3.913964,0.960901,1.466164,2.238566,1.778052,1.779499,3.194908,3.423458,3.609417,2.707487,2.778999,5.150652,0.946599,0.960584,1.322554,1.429042,1.871294,2.374935,1.901244,3.364993,1.829572,2.620659,3.10811
FBgn0031490,CG17264,6.487656,6.355389,12.38024,15.830905,22.924735,27.71807,24.49347,26.74442,25.500145,34.003105,32.248565,3.757027,4.810658,7.688469,9.295701,12.819435,16.359265,13.82901,16.670575,18.40191,20.38878,18.90844,5.449306,5.620835,7.215219,7.3462,9.34012,10.623085,12.615811,15.06232,20.01564,20.55088,18.407155,3.444387,3.658075,5.278685,6.025225,7.708685,10.37108,14.19158,13.77591,14.664355,14.97872,15.83669
FBgn0030244,CG2157,10.770098,8.257582,5.364945,5.478289,5.228464,6.34821,6.179972,8.817077,10.229117,12.582255,17.360745,4.396648,4.009024,4.321849,7.127249,5.552954,7.811939,6.420497,7.779931,8.721275,8.487058,13.47001,8.806601,5.191804,3.708412,5.62022,6.075181,5.94946,6.818909,7.68503,10.860487,17.18028,15.913485,4.427029,5.336723,3.459474,3.73956,4.882435,5.347696,6.62077,7.316076,9.52754,9.155065,9.020006
FBgn0034741,CG4269,5.745108,7.136947,13.17397,10.526823,23.161205,29.5318,30.49541,33.898655,28.69546,38.31979,40.594245,2.918937,5.4137,4.971645,9.592388,18.59649,19.306145,38.806515,42.86493,42.12057,39.266975,45.706865,14.09664,23.89719,23.21785,44.55765,34.4318,13.83823,76.47678,63.68778,53.43183,52.95884,62.879,2.415421,5.560272,2.633578,3.861554,6.853123,10.333514,21.31969,31.127325,25.640805,23.38159,29.08699
FBgn0085354,CG34325,13.46748,15.77136,20.06739,18.70821,20.33284,22.44634,23.70267,24.77071,24.60743,30.0683,36.64369,18.83862,21.11385,19.61315,22.11706,19.53462,22.99742,20.06903,23.63462,30.72247,32.34302,38.14297,20.98144,21.77157,25.88849,23.30983,22.08631,25.5852,35.98515,39.73603,36.86929,41.76144,51.34284,24.79564,20.9147,20.75725,19.58088,24.37401,24.82732,24.18204,32.14872,31.48945,31.82653,36.44633
FBgn0002564,Lsp1?,6.729069,5.024336,3.641197,3.761293,5.057727,4.049822,5.283901,5.245046,4.749144,5.060684,4.606648,3.169746,2.800885,2.454403,1.75093,2.489932,1.610693,2.559553,1.635579,2.967671,1.500767,2.412043,10.269312,3.590004,1.489285,0.728343,1.305513,1.238194,1.672027,2.097857,2.069488,2.600457,2.443798,9.789921,2.349295,2.101357,0.738372,1.561368,1.664406,1.186288,1.273805,0.577099,1.381342,1.447438
FBgn0037819,Phyhd1,199.42889,200.69737,210.21547,168.85347,130.06411,119.83058,109.3805,100.32933,79.9654,60.98409,53.12149,153.74177,206.1241,193.94377,156.98162,126.72891,136.93116,115.39023,101.57877,102.1736,84.47191,74.29355,149.14741,126.02667,111.57796,97.55875,93.90373,99.52252,78.83966,88.84471,60.67034,73.89604,62.69835,99.59822,101.5685,92.69211,75.25861,59.97973,54.67347,57.0049,62.36472,52.99626,38.43496,35.16361
FBgn0266758,Esyt2,90.38043,89.61152,95.13413,84.95591,82.5314,89.57874,88.58895,98.83275,96.74619,96.64677,121.68365,97.74526,105.7873,95.94146,101.70916,107.15785,118.1242,122.14715,139.4588,132.1119,137.1705,152.9724,87.93956,82.91305,92.43197,85.60994,83.56582,83.75848,98.79534,109.34925,97.07857,106.859,117.32575,109.18465,99.22725,107.25369,93.69636,102.94117,110.3556,108.9913,120.75715,94.36804,111.24465,131.28345
