Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
abd-A,17.0398,14.12798,16.44796,13.0656,14.82074,19.38815,17.64644,14.28698,14.21795,12.808,12.95847
Ace,97.3119,77.45481,86.45185,67.87785,80.80584,100.32631,92.62611,67.85613,61.57297,71.4325,68.87578
nAChRbeta1,9.015072,7.200191,7.044538,4.180304,6.379764,6.790258,4.050478,4.084675,3.423903,2.822586,3.403912
Act42A,46.37611,76.86351,99.26001,89.20698,90.79812,65.60175,165.4668,135.04195,136.33895,126.93049,171.19785
Act79B,1063.8341,523.8906,267.8034,190.6313,211.4469,274.7829,210.2271,198.7512,140.9646,164.2931,166.9262
Act87E,324.5537,278.2295,268.3393,172.7024,168.9187,255.2366,194.9568,184.066,140.8424,147.1621,146.1795
Act88F,313.2269,89.02264,57.41352,72.40832,97.88102,320.27045,172.14215,272.588,182.93345,207.30825,186.6893
ade2,257.76666,176.5517,149.07088,164.42905,135.52782,122.13973,98.07051,137.46625,170.02074,259.57566,309.90416
ade3,221.3601,145.64715,112.86255,129.09845,117.39635,103.70579,91.04138,138.7668,166.72995,280.7509,254.61175
Adh,29.96928,28.41162,30.20452,29.03452,22.86229,24.44952,15.23083,16.40572,12.96055,11.38097,13.74283
al,1.067754,0.501047,0.94043,0.633466,0.728971,0.989612,1.030378,1.06419,1.169652,1.484032,0.853476
Ald,4030.628,2999.485,1857.414,1697.99,1935.319,2234.76,1525.149,1404.482,1020.864,1098.624,1046.064
AnxB9,333.6357,303.8015,303.2483,324.6271,281.9891,287.9977,346.0807,398.1308,355.3773,406.183,419.3196
Argk,4948.826,2815.3535,1838.283,1430.0105,1340.1365,1450.0945,1067.2794,997.9239,787.5254,928.945,830.5833
Arr1,6.438203,3.895185,34.208782,3.679884,76.935509,4.086424,9.367355,11.022894,41.655999,22.849201,1.897976
b,189.34745,113.12491,58.02614,52.98754,66.5061,80.30102,60.10229,63.91757,37.54861,39.02835,36.09398
baz,193.0819,169.0311,171.043,150.3964,166.2873,179.6936,197.4957,184.8165,172.6741,180.2871,188.8368
bib,17.011797,14.143965,11.592653,7.232789,8.098863,10.196103,6.281776,6.286438,7.826058,5.264711,6.808102
boss,0.871002,1.04553,1.979528,0.437646,2.781971,1.014479,1.031629,1.419348,3.07567,2.786356,1.198374
bsk,55.86857,68.06313,67.93836,62.26083,66.52511,78.43807,72.50289,63.63715,48.6829,41.33627,52.36697
