Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
abd-A,0.42867,0.726195,0.406128,0.719265,0.824281,0.787945,1.627627,1.219486,2.243134,2.047498,0.801359
Ace,395.8807,431.9114,617.4648,447.2089,570.2701,526.0279,341.1416,326.2545,320.0359,267.1433,355.4093
nAChRbeta1,51.67032,51.62622,56.44752,37.97951,50.64679,45.17728,27.37527,19.53401,27.83713,19.64877,27.31733
Act42A,36.56022,34.8926,28.58028,32.76881,38.99567,45.56164,50.48313,58.92614,47.93111,57.12591,57.11003
Act79B,70.85089,40.81595,21.23044,28.33485,23.10427,25.81335,27.11107,27.72255,25.4878,27.6961,28.60686
Act87E,85.76813,75.52568,78.03116,78.50592,66.28157,74.23209,64.49932,85.98026,69.61215,75.72327,83.25032
Act88F,43.10337,21.05832,15.78839,16.74404,17.48112,20.69704,20.52514,21.60112,20.45805,23.30567,13.99592
ade2,201.8364,231.678,148.5131,171.3589,157.0242,159.7138,247.1508,276.1878,218.0499,314.8918,359.5299
ade3,215.6952,227.1949,161.8389,153.1954,140.6894,166.0918,235.1053,262.5077,254.1147,401.2754,393.8243
Adh,32.28392,35.17849,41.21027,34.30958,31.48601,26.74076,28.95417,28.69519,26.96051,21.32049,25.40255
al,0.311955,0.338711,0.290996,0.72501,0.493348,0.697296,0.654972,0.657472,1.190431,0.482695,0.577727
Ald,1411.1335,1181.967,1389.6734,1075.5919,1265.6961,1253.7139,736.4403,931.5855,860.3771,787.4198,955.5567
AnxB9,287.0581,263.1322,248.0919,258.3986,263.4208,285.1299,350.3041,422.493,352.9964,346.7067,385.5199
Argk,2603.383,2134.077,1949.688,1806.111,1617.729,1543.399,1339.758,1373.071,1400.974,1065.767,1100.73
Arr1,7264.167,7123.242,6964.812,6324.442,5762.197,5255.733,5103.758,4643.673,4626.68,3105.752,2956.223
b,116.00947,85.06785,41.02775,55.16114,55.45584,47.39878,64.98637,79.3952,47.22932,49.26711,43.71471
baz,197.5727,193.8604,234.7388,207.1111,247.7109,242.1376,229.6472,242.1615,233.9027,199.8495,264.342
bib,12.937383,12.793772,15.731886,12.004488,13.957781,14.46948,9.388775,9.430496,9.945686,10.603149,11.608479
boss,171.5774,134.82845,137.52125,118.9342,110.74572,110.06924,101.03478,90.11711,88.83258,82.72075,101.15757
bsk,183.70047,152.35743,187.81482,137.62604,156.59004,150.86374,99.57974,112.29738,101.21079,85.29428,108.878
bw,25.81217,20.1438,20.83755,21.12883,20.96121,25.5401,36.29427,43.42905,36.05671,43.45549,37.81583
by,134.1112,128.8563,130.798,127.0867,130.9378,132.0051,116.7714,119.3948,106.3391,100.9069,126.4358
CecA1,8.425954,7.293121,2.265693,6.036188,10.729232,19.44565,37.019225,45.48416,164.788155,56.29877,57.910765
CecA2,6.850698,6.106278,2.001409,5.334159,7.815329,13.462258,38.99569,41.634865,105.120715,39.943455,32.0135
CecB,0.602895,0.676066,0.043438,0.412077,0.735619,0.651617,1.657619,3.12897,6.922842,2.644383,1.753841
CecC,4.133153,3.563237,1.6837,2.447745,2.223233,6.518305,11.14006,21.678075,33.98735,18.77796,16.908011
Cec2,0.040336,0,0.06804,0.137359,0.103798,0.352349,0.381355,0.575193,0.726121,0.502623,0.482479
Col4a1,238.7414,179.789,116.7358,126.3721,132.5494,125.7889,193.5814,160.0804,173.0837,182.1249,137.3225
ChAT,88.55719,86.19233,103.14757,72.08103,94.5907,83.83448,38.69664,36.3959,45.65823,31.07118,45.75167
clt,21.16414,17.52082,13.31607,12.55794,13.48058,12.45328,14.18974,12.60534,15.57076,13.56891,11.06999
cm,21.50739,22.42129,19.37834,19.10613,19.71192,18.26533,22.39892,20.3306,22.9481,20.79952,19.11907
comt,357.1997,320.5528,352.9393,260.762,301.764,269.0628,169.9687,155.3825,155.7925,127.0654,157.4667
cv-2,35.9119,32.30756,42.18337,40.01651,48.09093,52.04382,51.81938,47.30065,53.22741,67.2391,82.19175
1-Dec,1.150427,1.801941,0.544318,0.9082,1.609254,1.646613,4.560345,1.707754,4.251251,13.148204,2.948806
Hr3,10.223679,9.555702,14.968265,9.615933,12.617908,10.573869,6.791502,6.982991,8.768786,5.143892,8.216704
Cyp6a2,172.1066,186.7203,137.546,168.621,128.2988,115.87,137.6798,146.624,101.9856,107.7007,116.8645
bsh,8.121568,8.188664,7.782517,6.855258,7.423161,7.685064,4.997997,4.655862,4.865947,4.841497,4.733703
eas,208.5807,196.3397,226.7798,184.111,202.7892,196.9356,160.8896,182.202,130.1652,131.39,160.0293
ec,15.46477,18.31204,16.92064,15.25019,16.60602,15.74012,13.98581,12.04569,11.63939,9.55868,11.14458
Eip71CD,202.9478,470.48265,348.20455,357.0646,272.31465,212.87755,247.307,279.94465,174.2083,134.10085,76.78784
ena,85.27008,88.77332,102.63184,84.74546,90.61199,90.59835,72.73209,91.02866,70.26663,73.74599,96.51072
Eno,1099.9443,962.5345,811.3718,800.6558,750.6271,715.2565,792.47,832.5872,781.6625,723.5321,662.8715
Fas3,74.80721,75.62999,91.08481,74.47586,90.91065,92.89305,76.84168,83.67525,74.14132,71.55172,99.82456
fj,4.172585,3.935817,4.641726,3.436115,4.02224,2.498029,3.048998,2.896915,3.453046,2.727257,2.288035
Actn,149.48031,109.43735,110.29557,104.60921,110.13602,115.85546,89.473,90.81723,97.55449,85.34711,123.07703
fw,22.681435,18.996245,20.28844,17.108415,15.637625,15.17104,13.264155,10.807614,7.917709,5.819855,6.905695
Gapdh1,879.9398,659.5468,460.6569,472.8689,404.2633,397.4613,454.0809,492.4429,471.7812,417.8415,341.5781
Gapdh2,821.6654,696.3471,561.1065,565.6125,534.226,530.5739,681.8746,750.9641,673.9301,612.2782,554.1795
Gdh,403.2063,286.6575,301.5291,249.3488,245.3387,234.5649,149.1989,136.7064,183.8641,147.4882,153.1844
Got2,290.9525,300.244,209.4437,193.808,185.3778,200.7029,261.8494,306.8467,282.5541,357.4142,304.3552
Gpdh,398.1414,351.8716,294.843,267.226,228.4396,216.3193,216.214,234.5716,157.6798,157.064,141.3129
