"Symbol","FB_vs_FH","FH_vs_MH","MH_vs_MB","FB_vs_MB","FB_vs_MH","FH_vs_MB"
"abd-A",-0.209090909090909,-0.0545454545454545,-0.236363636363636,-0.263636363636364,0.381818181818182,0.518181818181818
"Ace",0.163636363636364,0.609090909090909,0.509090909090909,0.236363636363636,-0.190909090909091,0.6
"nAChRbeta1",0.3,0.845454545454546,0.863636363636364,0.509090909090909,0.345454545454545,0.881818181818182
"Act42A",0.536363636363636,0.818181818181818,0.618181818181818,0.481818181818182,0.454545454545455,0.709090909090909
"Act79B",0.2,0.672727272727273,0.2,0.672727272727273,0.109090909090909,0.218181818181818
"Act87E",0.463636363636364,0.318181818181818,0.172727272727273,0.827272727272727,0.1,0.372727272727273
"Act88F",0.609090909090909,0.518181818181818,0.609090909090909,0.654545454545455,0.627272727272727,0.463636363636364
"ade2",-0.0181818181818182,0.718181818181818,0.481818181818182,0.745454545454545,0.218181818181818,0.327272727272727
"ade3",0.4,0.909090909090909,0.618181818181818,0.790909090909091,0.472727272727273,0.545454545454545
"Adh",0.309090909090909,0.0454545454545455,0.845454545454546,0.709090909090909,0.863636363636364,0.2
"al",0.245454545454545,-0.172727272727273,0.0909090909090909,0.554545454545455,0.5,0.381818181818182
"Ald",-0.0363636363636364,-0.118181818181818,0.772727272727273,0.909090909090909,0.781818181818182,-0.0818181818181818
"AnxB9",0.754545454545455,0.745454545454545,0.781818181818182,0.672727272727273,0.863636363636364,0.772727272727273
"Argk",0.954545454545455,0.990909090909091,0.863636363636364,0.936363636363636,0.963636363636364,0.881818181818182
"Arr1",-0.209090909090909,0.981818181818182,-0.0727272727272727,0.163636363636364,-0.236363636363636,-0.154545454545455
"b",0.527272727272727,0.463636363636364,0.727272727272727,0.845454545454546,0.463636363636364,0.590909090909091
"baz",0.772727272727273,0.590909090909091,0.0363636363636364,0.363636363636364,0.554545454545455,0.436363636363636
"bib",0.772727272727273,0.527272727272727,0.763636363636364,0.7,0.627272727272727,0.709090909090909
"boss",-0.509090909090909,0.881818181818182,-0.554545454545455,0.218181818181818,-0.572727272727273,-0.645454545454545
"bsk",-0.0454545454545455,0.636363636363636,0.390909090909091,0.645454545454545,0.1,0.4
"bw",0.754545454545455,0.754545454545455,0.527272727272727,0.863636363636364,0.7,0.636363636363636
"by",0.509090909090909,0.490909090909091,0.827272727272727,0.7,0.590909090909091,0.472727272727273
