Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0000014,12.49262,10.5613,12.53139,12.58567,14.09539,14.91799,16.52828,16.86457,15.56557,17.07656,20.16695
FBgn0000024,153.5706,147.7434,177.4962,145.4128,186.3246,165.1183,135.8641,124.7863,115.6746,108.7466,124.4658
FBgn0000038,21.313198,18.382193,18.167358,13.617744,16.122026,14.178003,11.615869,8.850143,9.896544,7.923366,10.409551
FBgn0000043,204.1856,218.3027,224.0052,265.6775,245.3094,239.546,285.9521,244.2846,241.5923,264.2478,288.2277
FBgn0000045,256.21747,132.77994,68.62974,56.37274,58.96639,68.16125,57.05432,53.9766,46.11649,47.08568,50.19857
FBgn0000046,184.03661,155.98487,149.14689,129.61651,117.02925,123.60876,120.28368,123.10546,108.65587,93.30155,108.64355
FBgn0000047,130.28314,38.17865,25.03995,30.37975,48.04964,101.51838,81.70897,92.44117,59.54656,58.77759,50.13905
FBgn0000052,206.2612,187.5812,149.8042,162.3561,143.1763,143.728,160.6041,180.8535,187.0654,211.3933,239.0151
FBgn0000053,211.6466,183.0438,154.2082,157.3649,135.7281,143.9594,156.6142,181.7597,215.3622,256.6342,268.9628
FBgn0000055,17.48667,17.29663,17.87413,16.3506,13.95406,13.64564,11.59777,12.65365,12.5628,10.40056,12.03359
FBgn0000061,0.740952,0.360342,0.513866,0.536713,0.726579,0.615927,1.043727,0.824798,0.949535,0.905858,0.651894
FBgn0000064,1597.5335,1334.4331,1029.9582,908.3025,1001.5279,1032.0546,809.0094,780.3133,714.2557,703.3214,708.8699
FBgn0000083,256.2834,231.0854,228.9234,235.8921,240.4027,260.2113,287.2277,304.7017,283.118,314.6279,325.0062
FBgn0000116,2127.3381,1506.7892,1213.8723,1116.9071,1009.9773,996.7463,873.1005,841.2485,807.9315,761.0814,769.7179
FBgn0000120,1891.016,1994.4266,1832.8409,1717.9439,1575.4934,1490.8852,1378.3537,1229.2036,1153.2964,861.5558,786.8573
FBgn0000153,89.70928,64.35369,37.5941,38.44772,38.24708,41.74485,37.92281,42.59247,27.74539,28.06052,25.6219
FBgn0000163,151.4029,146.7329,159.0882,147.9797,171.534,174.1065,173.5826,171.2411,165.7628,168.8154,194.555
FBgn0000180,11.030844,10.310014,9.800176,7.995633,9.054185,9.545715,7.458313,7.370758,7.334173,7.397613,7.054366
FBgn0000206,46.9529,40.85135,36.7028,33.51709,33.02718,32.82265,31.00965,28.74447,27.05421,25.52317,29.84072
FBgn0000229,77.97767,75.93483,85.28067,74.26701,81.6454,78.70851,71.75832,64.27504,57.85517,56.5032,63.34373
FBgn0000241,8.224217,7.614002,8.070769,9.431714,8.575799,9.79559,12.298781,16.212909,16.8315,17.772016,16.856107
FBgn0000244,101.9281,101.66811,106.0935,102.6895,106.17325,110.61214,98.6859,96.31619,83.5865,88.62453,94.17881
FBgn0000276,14.96078,20.37542,24.27585,27.27407,37.63509,46.03258,81.04177,86.34355,146.82209,100.41605,101.68589
