Symbol,kmeans
Lsp1gamma,Cluster 5
CG11876,Cluster 5
AsnS,Cluster 5
Pfk,Cluster 5
sun,Cluster 5
Sod2,Cluster 5
CG10340,Cluster 5
ND-30,Cluster 5
AP-2mu,Cluster 5
Cyp318a1,Cluster 5
UQCR-11,Cluster 5
CG7148,Cluster 5
CG34180,Cluster 5
Cda4,Cluster 5
obst-B,Cluster 5
Kal1,Cluster 5
ND-B14.7,Cluster 5
mRpL28,Cluster 5
AGBE,Cluster 5
ND-39,Cluster 5
CG12581,Cluster 5
ND-15,Cluster 5
ND-13B,Cluster 5
CG11752,Cluster 5
UQCR-6.4,Cluster 5
Sobp,Cluster 5
CG44242,Cluster 5
ND-ACP,Cluster 5
trol,Cluster 5
CG42269,Cluster 5
CG6225,Cluster 5
ND-PDSW,Cluster 5
Rh50,Cluster 5
c12.1,Cluster 5
Gapdh2,Cluster 5
Cpr97Eb,Cluster 5
Oat,Cluster 5
ND-B15,Cluster 5
CG1640,Cluster 5
trus,Cluster 5
nrv2,Cluster 5
CG14806,Cluster 5
ND-B12,Cluster 5
PPO2,Cluster 5
ND-13A,Cluster 5
CG5376,Cluster 5
CG6847,Cluster 5
Tpi,Cluster 5
ras,Cluster 5
CG6084,Cluster 5
CG40472,Cluster 5
l(1)G0255,Cluster 5
mRpL24,Cluster 5
Cchl,Cluster 5
ND-B14.5B,Cluster 5
ND-B14.5A,Cluster 5
Pgk,Cluster 5
CR44708,Cluster 5
CG1441,Cluster 5
CG34242,Cluster 5
Cpr100A,Cluster 5
PPO1,Cluster 5
Vha36-1,Cluster 5
Gasp,Cluster 5
CG10361,Cluster 5
CG41128,Cluster 5
slmo,Cluster 5
kar,Cluster 5
CG10936,Cluster 5
Mtap,Cluster 5
Trax,Cluster 5
Aldh,Cluster 5
Pgm,Cluster 5
CG9400,Cluster 5
babos,Cluster 5
CG5903,Cluster 5
AdamTS-A,Cluster 5
CG8925,Cluster 5
fj,Cluster 5
CG30062,Cluster 5
Pex13,Cluster 5
mt:CoIII,Cluster 5
Npc2h,Cluster 5
CG5500,Cluster 5
CG9297,Cluster 5
CG32649,Cluster 5
colt,Cluster 5
CG42514,Cluster 5
CG13689,Cluster 5
Scsalpha,Cluster 5
CG34214,Cluster 5
CG17556,Cluster 5
Efr,Cluster 5
CG13833,Cluster 5
verm,Cluster 5
AMPKalpha,Cluster 5
CG32808,Cluster 5
CG3713,Cluster 5
snoRNA:Me28S-G2173,Cluster 5
CG15213,Cluster 5
CG9510,Cluster 5
Cisd2,Cluster 5
Nsun2,Cluster 5
Cpr65Au,Cluster 5
CG9249,Cluster 5
CR44965,Cluster 5
CG17593,Cluster 5
CG42714,Cluster 5
CG8854,Cluster 5
CG5793,Cluster 5
RNASEK,Cluster 5
CG10483,Cluster 5
CG9034,Cluster 5
CG4592,Cluster 5
snoRNA:Me28S-A1322,Cluster 5
CG1847,Cluster 5
Adk1,Cluster 5
CG32100,Cluster 5
betaTub97EF,Cluster 5
GstE13,Cluster 5
aos,Cluster 5
CG17974,Cluster 5
CG33784,Cluster 5
Col4a1,Cluster 5
Acp65Aa,Cluster 5
CG8417,Cluster 5
nahoda,Cluster 5
Pgd,Cluster 5
CG10663,Cluster 5
Pex11,Cluster 5
CR43452,Cluster 5
RpLP0-like,Cluster 5
CR43275,Cluster 5
CG3597,Cluster 5
veli,Cluster 5
CG15369,Cluster 5
Rpb5,Cluster 5
CG8993,Cluster 5
CG34305,Cluster 5
fabp,Cluster 5
CG2604,Cluster 5
Tm2,Cluster 5
mRpL19,Cluster 5
CG34446,Cluster 5
CG13295,Cluster 5
CG16935,Cluster 5
CG45676,Cluster 5
ec,Cluster 5
CG11771,Cluster 5
CG9067,Cluster 5
CG13220,Cluster 5
Ance-4,Cluster 5
Pcmt,Cluster 5
snoRNA:U49:66Db,Cluster 5
CG10947,Cluster 5
CG30172,Cluster 5
mt:lrRNA,Cluster 5
mRpL20,Cluster 5
CG1907,Cluster 5
Act87E,Cluster 5
CG31904,Cluster 5
ScpX,Cluster 5
FKBP59,Cluster 5
Dim1,Cluster 5
mRpL43,Cluster 5
Pex5,Cluster 5
CG1598,Cluster 5
CG10375,Cluster 5
CG8777,Cluster 5
CG2124,Cluster 5
Cog7,Cluster 5
Arp1,Cluster 5
PH4alphaEFB,Cluster 5
CG13082,Cluster 5
Nmd3,Cluster 5
Sodh-1,Cluster 5
Galt,Cluster 5
CG4743,Cluster 5
RpI12,Cluster 5
CG5131,Cluster 5
CG4042,Cluster 5
Eglp4,Cluster 5
mEFTu1,Cluster 5
CG14407,Cluster 5
Pex19,Cluster 5
mRpL22,Cluster 5
elm,Cluster 5
SP1173,Cluster 5
CG14749,Cluster 5
CG9300,Cluster 5
BHD,Cluster 5
p38b,Cluster 5
Uhg8,Cluster 5
wal,Cluster 5
CG1806,Cluster 5
CG12011,Cluster 5
CG7772,Cluster 5
CG9119,Cluster 5
CG1824,Cluster 5
CG30196,Cluster 5
mRpS18A,Cluster 5
Gs1l,Cluster 5
CG30392,Cluster 5
Prat2,Cluster 5
tn,Cluster 5
CG13018,Cluster 5
Smyd4-2,Cluster 5
CG11158,Cluster 5
CG11563,Cluster 5
T3dh,Cluster 5
Dhx15,Cluster 5
Sod1,Cluster 5
CG34117,Cluster 5
CG34445,Cluster 5
CG5590,Cluster 5
CG2046,Cluster 5
ttm50,Cluster 5
CG3793,Cluster 5
fbp,Cluster 5
U3-55K,Cluster 5
CG11236,Cluster 5
E(spl)m2-BFM,Cluster 5
CG15529,Cluster 5
CG5009,Cluster 5
Cyp305a1,Cluster 5
CG9782,Cluster 5
CG1544,Cluster 5
alpha-Est1,Cluster 5
Osi3,Cluster 5
CG15922,Cluster 5
Pex12,Cluster 5
Hesr,Cluster 5
CR45531,Cluster 5
NHP2,Cluster 5
Tsp42Ej,Cluster 5
l(2)09851,Cluster 5
CG11241,Cluster 5
CG9319,Cluster 5
CG13786,Cluster 5
CG13365,Cluster 5
snoRNA:Me28S-A2113,Cluster 5
Dgkepsilon,Cluster 5
snoRNA:Me28S-A3407a,Cluster 5
Mdh1,Cluster 5
Ir7g,Cluster 5
cm,Cluster 5
Non3,Cluster 5
Men,Cluster 5
ND-AGGG,Cluster 5
CG43156,Cluster 5
Ppat-Dpck,Cluster 5
GluRIIC,Cluster 5
Mulk,Cluster 5
CG17919,Cluster 5
CG9090,Cluster 5
ATPsynbeta,Cluster 5
Gapdh1,Cluster 5
SmydA-3,Cluster 5
kdn,Cluster 5
CG8768,Cluster 5
CG15617,Cluster 5
plh,Cluster 5
COX8,Cluster 5
CG4461,Cluster 5
SmydA-4,Cluster 5
Cpr49Ae,Cluster 5
GlyP,Cluster 5
ND-B17.2,Cluster 5
sesB,Cluster 5
AQP,Cluster 5
ND-SGDH,Cluster 5
ATPsynO,Cluster 5
UQCR-Q,Cluster 5
SERCA,Cluster 5
Argk,Cluster 5
CG7203,Cluster 5
CG15412,Cluster 5
ATPsyngamma,Cluster 5
GlyS,Cluster 5
CG16885,Cluster 5
Cpr47Ee,Cluster 5
Pglym78,Cluster 5
ND-42,Cluster 5
Mf,Cluster 5
ATPsynCF6,Cluster 5
UQCR-C1,Cluster 5
COX7C,Cluster 5
COX4,Cluster 5
CG7430,Cluster 5
CG5214,Cluster 5
CG6739,Cluster 5
Mdh2,Cluster 5
levy,Cluster 5
ND-ASHI,Cluster 5
CG7630,Cluster 5
Fhos,Cluster 5
Spn31A,Cluster 5
CG7214,Cluster 5
PyK,Cluster 5
COX5B,Cluster 5
Ald,Cluster 5
RFeSP,Cluster 5
CG31345,Cluster 5
lectin-33A,Cluster 5
ATPsynB,Cluster 5
lox2,Cluster 5
CG8483,Cluster 5
CG42700,Cluster 5
ATPsynD,Cluster 5
Strn-Mlck,Cluster 5
SdhC,Cluster 5
CG14778,Cluster 5
Nplp3,Cluster 5
NP15.6,Cluster 5
ATPsyndelta,Cluster 5
Mal-A5,Cluster 5
ND-18,Cluster 5
b,Cluster 5
Eno,Cluster 5
CG9572,Cluster 5
CG1265,Cluster 5
Act88F,Cluster 5
CR44525,Cluster 5
bdl,Cluster 5
CG40486,Cluster 5
Prm,Cluster 5
CG5644,Cluster 5
Chchd3,Cluster 5
Mlc2,Cluster 5
CG34172,Cluster 5
CG9485,Cluster 5
UGP,Cluster 5
CG2070,Cluster 5
CR45327,Cluster 5
CG6439,Cluster 5
Zasp67,Cluster 5
TpnC47D,Cluster 5
Neb-cGP,Cluster 5
ATPsynG,Cluster 5
Unc-89,Cluster 5
ND-19,Cluster 5
SmydA-2,Cluster 5
CG13563,Cluster 5
Mlc1,Cluster 5
ATPsynF,Cluster 5
CG10516,Cluster 5
COX5A,Cluster 5
CG8481,Cluster 5
CG11391,Cluster 5
Cpr49Ab,Cluster 5
CG40198,Cluster 5
Mhc,Cluster 5
MsR2,Cluster 5
CG4000,Cluster 5
CG15515,Cluster 5
Jon99Cii,Cluster 5
UQCR-C2,Cluster 5
Actn,Cluster 5
Tm1,Cluster 5
ND-B17,Cluster 5
tfc,Cluster 5
Mlp84B,Cluster 5
ND-B18,Cluster 5
CG4239,Cluster 5
AANATL2,Cluster 5
CG18367,Cluster 5
CG13133,Cluster 5
CG14439,Cluster 5
QIL1,Cluster 5
CG9416,Cluster 5
fln,Cluster 5
Gat,Cluster 5
ple,Cluster 5
Jon65Ai,Cluster 5
CG8475,Cluster 5
ND-B8,Cluster 5
CG34396,Cluster 5
RyR,Cluster 5
Mlp60A,Cluster 5
cu,Cluster 5
Tig,Cluster 5
vkg,Cluster 5
Clect27,Cluster 5
Cpr49Ag,Cluster 5
GstD11,Cluster 5
Tsp5D,Cluster 5
CG13360,Cluster 5
SmydA-7,Cluster 5
Gdh,Cluster 5
retinin,Cluster 5
Pgi,Cluster 5
CR12842,Cluster 5
CG34377,Cluster 5
CG13272,Cluster 5
CG7766,Cluster 5
CG13155,Cluster 5
CG13722,Cluster 5
CG3534,Cluster 5
Cyp4aa1,Cluster 5
CG8562,Cluster 5
CG12038,Cluster 5
Tdc2,Cluster 5
Zip42C.2,Cluster 5
Pu,Cluster 5
serp,Cluster 5
CheA7a,Cluster 5
CG42808,Cluster 5
CG2017,Cluster 5
Pax,Cluster 5
smp-30,Cluster 5
Jon44E,Cluster 5
CG33178,Cluster 5
CG11594,Cluster 5
CG33012,Cluster 5
CG32121,Cluster 5
CG9701,Cluster 5
CG6293,Cluster 5
SmydA-9,Cluster 5
CG11409,Cluster 5
CG18180,Cluster 5
SIFa,Cluster 5
qsm,Cluster 5
Scgbeta,Cluster 5
CR45125,Cluster 5
CG3842,Cluster 5
CG14196,Cluster 5
CG14607,Cluster 5
CR46035,Cluster 5
CG17839,Cluster 5
CG10357,Cluster 5
CG8036,Cluster 5
Six4,Cluster 5
CR45209,Cluster 5
CD98hc,Cluster 5
CG6280,Cluster 5
ACC,Cluster 5
CG13056,Cluster 5
CG34309,Cluster 5
CG17572,Cluster 5
lectin-24A,Cluster 5
CheA75a,Cluster 5
CG16798,Cluster 5
Mct1,Cluster 5
obst-A,Cluster 5
CG5724,Cluster 5
CG13305,Cluster 5
CG14591,Cluster 5
CG43255,Cluster 5
CG32409,Cluster 5
CG2010,Cluster 5
CG33056,Cluster 5
Jon99Ciii,Cluster 5
CG8299,Cluster 5
Scp1,Cluster 5
CG40298,Cluster 5
Jon25Bi,Cluster 5
CG9825,Cluster 5
Cpr47Ef,Cluster 5
CG9184,Cluster 5
Or83c,Cluster 5
scpr-B,Cluster 5
CG31296,Cluster 5
CG7409,Cluster 5
CG34327,Cluster 5
Gpo-1,Cluster 5
Act79B,Cluster 5
TpnC41C,Cluster 5
TpnC4,Cluster 5
CG14246,Cluster 5
CG8560,Cluster 5
CR43887,Cluster 5
Jon25Bii,Cluster 5
Jon25Biii,Cluster 5
CR43432,Cluster 5
CG10035,Cluster 5
CG10469,Cluster 5
CG32277,Cluster 5
CG10154,Cluster 5
CheA87a,Cluster 5
CG5646,Cluster 5
CG15478,Cluster 5
Tret1-1,Cluster 5
CG4752,Cluster 5
CG31793,Cluster 5
CG13840,Cluster 5
ppk18,Cluster 5
Hr3,Cluster 5
CG9447,Cluster 5
CG31220,Cluster 5
CG10960,Cluster 5
Cpr76Bc,Cluster 5
CR44506,Cluster 5
Cyp4d8,Cluster 5
CG9372,Cluster 5
CG4374,Cluster 5
CG34251,Cluster 5
Prx2540-2,Cluster 5
CG8248,Cluster 5
Pxn,Cluster 5
cyr,Cluster 5
scpr-A,Cluster 5
Or85b,Cluster 5
Ir56b,Cluster 5
CG6938,Cluster 5
CR44020,Cluster 5
Ser6,Cluster 5
CG15772,Cluster 5
CG6628,Cluster 5
ru,Cluster 5
CG2767,Cluster 5
Men-b,Cluster 5
CR43959,Cluster 5
Muc4B,Cluster 5
Mp20,Cluster 5
Fas1,Cluster 5
CR45009,Cluster 5
CG1299,Cluster 5
Rrp45,Cluster 5
Obp57e,Cluster 5
CG33110,Cluster 5
CCT7,Cluster 5
CG12896,Cluster 5
CG14545,Cluster 5
CG18673,Cluster 5
CG6724,Cluster 5
CG6937,Cluster 5
Nop56,Cluster 5
wcd,Cluster 5
CG10178,Cluster 5
