fb_a	fb_b	symbol_a	symbol_b	interaction
FBgn0010741	FBgn0261854	Pfdn2	aPKC	genetic
FBgn0000299	FBgn0016075	Col4a1	vkg	genetic
FBgn0000524	FBgn0003557	dx	Su(dx)	genetic
FBgn0000499	FBgn0010909	dsh	msn	genetic
FBgn0010333	FBgn0004956	Rac1	upd1	genetic
FBgn0004569	FBgn0086706	aos	pix	genetic
FBgn0004050	FBgn0003334	z	Scm	genetic
FBgn0013725	FBgn0003870	phyl	ttk	genetic
FBgn0035956	FBgn0003720|FBgn0031375|FBgn0015524	Doc2	tll|erm|otp	genetic
FBgn0011766	FBgn0265623	E2f1	Su(z)2	genetic
FBgn0004198	FBgn0031461	ct	daw	genetic
FBgn0002622|FBgn0034970	FBgn0032682	RpS3|yki	grnd	genetic
FBgn0003015	FBgn0063485	osk	Lasp	genetic
FBgn0003268	FBgn0002989	rod	okr	genetic
FBgn0003391	FBgn0040309	shg	Prx2	genetic
FBgn0004167	FBgn0024277	kst	trio	genetic
FBgn0028734	FBgn0036896	Fmr1	wnd	genetic
FBgn0033483	FBgn0000229	egr	bsk	genetic
FBgn0284084	FBgn0003205	wg	Ras85D	genetic
FBgn0010341	FBgn0261278	Cdc42	grp	genetic
FBgn0001085	FBgn0003090	fz	pk	genetic
FBgn0003053	FBgn0011286	peb	RyR	genetic
FBgn0003079	FBgn0264959	Raf	Src42A	genetic
FBgn0022739	FBgn0031030	btl::Egfr	Tao	genetic
FBgn0003444	FBgn0261988	smo	Gprk2	genetic
FBgn0003205	FBgn0003278	Ras85D	Polr1B	genetic
FBgn0000229	FBgn0288433	bsk	L	genetic
FBgn0262733	FBgn0003205	Src64B	Ras85D	genetic
FBgn0035964	FBgn0029891	Dhpr	Pink1	genetic
FBgn0003117	FBgn0262473	pnr	Tl	genetic
FBgn0025615	FBgn0263593	Torsin	Lpin	genetic
FBgn0025740	FBgn0024277	PlexB	trio	genetic
FBgn0031759	FBgn0016917	Kdm5	Stat92E	genetic
FBgn0085432	FBgn0029123	pan	SoxN	genetic
FBgn0004034|FBgn0004861	FBgn0003567	y|ph-p	su(Hw)	genetic
FBgn0030600	FBgn0024179	hiw	wit	genetic
FBgn0001320	FBgn0001323	kni	knrl	genetic
FBgn0262743	FBgn0287720	Fs(2)Ket	Pen	genetic
FBgn0011232	FBgn0015795	scat	Rab7	genetic
FBgn0019686	FBgn0016926	lok	Pino	genetic
FBgn0029891	FBgn0022355	Pink1	Tsf1	genetic
FBgn0011826	FBgn0010014	Pp2B-14D	CanB	genetic
FBgn0029891	FBgn0035906	Pink1	GstO2	genetic
FBgn0002962	FBgn0003997	nanos	hid	genetic
FBgn0041585	FBgn0015286	Orai	Rala	genetic
FBgn0261617	FBgn0004652	nej	fru	genetic
FBgn0265274	FBgn0027108	Inx3	Inx2	genetic
FBgn0086253	FBgn0004647	rumi	N	genetic
FBgn0016075	FBgn0000299	vkg	Col4a1	genetic
FBgn0004583	FBgn0032221	ex	Schip1	genetic
FBgn0011259	FBgn0015609	Sema1a	CadN	genetic
FBgn0003205	FBgn0032401	Ras85D	Plzf	genetic
FBgn0000157	FBgn0000459	Dll	disco	genetic
FBgn0003996	FBgn0017571	w	Mow	genetic
FBgn0033483	FBgn0263987	egr	spoon	genetic
FBgn0004050|FBgn0001087	FBgn0000629	z|g	E(z)	genetic
FBgn0026319	FBgn0010382	Traf4	CycE	genetic
FBgn0260945	FBgn0036813	Atg1	Atg3	genetic
FBgn0010269	FBgn0003256	Dsor1	rl	genetic
FBgn0010109	FBgn0000535	dpn	eag	genetic
