"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"2.864","0.010680101505147444","0.34916201117318435","0.5897435897435898","13","13","5","false","","Cluster 5","Clustered","7.822222222222222","cathD","22.692307692307693","0","13","Human","0","0.9509473684210527","false","0","cathD","4310","0.2965587044534413",""
"2.492","0.03195922453870843","0.4012841091492777","0.2727272727272727","23","23","5","false","","Cluster 5","Clustered","8.0","Akt","19.26086956521739","0","23","Human","0","0.9607368421052632","false","0","Akt","13532","0.1513180417665183",""
"2.3","0.08852680188296466","0.4347826086956522","0.11088709677419355","32","32","5","false","","Cluster 2","Clustered","2.8030303030303028","N","13.65625","0","32","Human","0","0.9657894736842106","false","0","N","33692","0.08673878205128205",""
"3.596","1.0222135040140251E-4","0.27808676307007785","0.8333333333333334","4",,"6","false","Cluster 3","","Unclustered","2.7","odd","13.25","0","4","Human","0","0.9316842105263157","false","0","odd","64","0.4732142857142857",""
"3.976","0.0012246254427354852","0.2515090543259557","0.0","2",,"7","false","Cluster 3","","Unclustered","0.6666666666666666","Pka-R1","4.5","0","2","Human","0","0.9216842105263158","false","0","Pka-R1","340","0.5",""
"3.052","0.007967674471114348","0.327653997378768","0.06666666666666667","6",,"6","false","Cluster 3","","Unclustered","2.0","Synd","11.833333333333334","0","6","Human","0","0.9460000000000001","false","0","Synd","2842","0.18926553672316385",""
"2.812","0.0047190865605531975","0.3556187766714083","0.6330049261083743","29","29","6","false","","Cluster 1","Clustered","11.509881422924902","OstDelta","23.103448275862068","0","29","Human","0","0.9523157894736842","false","0","OstDelta","4218","0.2852277564921243",""
"3.324","1.2033192933524514E-4","0.3008423586040915","0.8666666666666667","6","6","6","false","","Cluster 5","Clustered","5.0","Vha36-1","11.833333333333334","0","6","Human","0","0.9388421052631579","false","0","Vha36-1","86","0.31981981981981983",""
"3.544","3.4995951127895787E-4","0.28216704288939054","0.0","2",,"5","false","Cluster 3","","Unclustered","0.6666666666666666","Hr38","11.0","0","2","Human","0","0.9330526315789475","false","0","Hr38","126","0.5","Female"
"3.224","0.005241941876204952","0.31017369727047145","0.7666666666666667","21","21","6","false","","Cluster 1","Clustered","13.359477124183007","Yp2","18.285714285714285","0","21","Human","0","0.9414736842105262","false","0","Yp2","5302","0.4155844155844156",""
"3.264","0.006864805895568488","0.30637254901960786","0.3333333333333333","7",,"6","false","Cluster 3","","Unclustered","2.7","Snap25","8.714285714285714","0","7","Human","0","0.9404210526315788","false","0","Snap25","2036","0.21428571428571427","Female"
"3.38","0.0","0.2958579881656805","1.0","2",,"6","false","Cluster 3","Cluster 8","Clustered","2.0","miple1","17.5","0","2",,"0","0.9373684210526315","false","0","miple1","0","0.603448275862069",""
"3.292","0.0122489412449378","0.3037667071688943","0.22727272727272727","12",,"6","false","","","Unclustered","1.5333333333333332","Hr78","7.666666666666667","0","12","Human","0","0.9396842105263158","false","0","Hr78","4816","0.1744186046511628",""
"3.792","0.0","0.26371308016877637","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","LpR1","11.0","0","1","Human","0","0.9265263157894736","false","0","LpR1","0","0.0",""
"3.34","0.010762303278436715","0.29940119760479045","0.0","5",,"6","false","Cluster 3","","Unclustered","0.3333333333333333","lap","7.4","0","5","Human","0","0.9384210526315788","false","0","lap","2454","0.2206896551724138",""
"3.16","1.4430895981248934E-4","0.3164556962025316","0.8758169934640523","18","18","6","false","Cluster 3","Cluster 1","Clustered","11.555555555555555","Surf4","24.444444444444443","0","18","Human","0","0.9431578947368422","false","0","Surf4","206","0.45267489711934156",""
"3.536","0.0","0.2828054298642534","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","sug","23.0","0","1","Human","0","0.9332631578947368","false","0","sug","0","0.0",""
